Lead Owner/Queue,Primary Campaign,Lead Owner Exception Flag,Link to Customer,Customer Type ,Customer Name,Customer Name EN,ID Type,ID Number,Contact Title,Contact First Name,Contact Last Name,Contact Position,Decision Map,Contact Phone Number,Industry,Group name,No. of years business run,Sales amount per year,Lead Source,Other Source,Branch Referred (Referred),Referral Staff ID (Referred),Referral Staff Name,Total Expected Revenue,Address No/Moo/Soi/Street,"Sub District
",District,Province ,Zip Code,Country,Mobile No. ,Office No. ,Ext,Email,Rating,PreScreen Result,Remark
42415,201801_NewCampaign,Yes,,Individual,TEST,TEST,citizen id,9263593950300,Mrs.,Campaign 1,Expired 1,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3839,,,12,4000000,Other,Other,,12345,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10221,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
42415,201801_NewCampaign,Yes,,Individual,TEST,TEST,citizen id,4464743799341,Mrs.,Campaign 2,Expired 2,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3840,,,12,4000000,Other,Other,,12346,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10222,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
30186,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,6726854109089,,Campaign 3,Expired 3,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3841,,,12,4000000,Other,Other,,12347,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10223,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
28653,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,4462821408861,,Campaign 4,Expired 4,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3842,,,12,4000000,Other,Other,,12348,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10224,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
04781,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,1549668538297,,Campaign 5,Expired 5,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3843,,,12,4000000,Other,Other,,12349,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10225,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
25113,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,9497814426278,,Campaign 6,Expired 6,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3844,,,12,4000000,Other,Other,,12350,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10226,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
26629,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,0764408571354,,Campaign 7,Expired 7,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3845,,,12,4000000,Other,Other,,12351,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10227,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
34201,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,9292742684923,,Campaign 8,Expired 8,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3846,,,12,4000000,Other,Other,,12352,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10228,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
32344,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,4273001448688,,Campaign 9,Expired 9,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3847,,,12,4000000,Other,Other,,12353,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10229,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
33870,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,2663680139668,,Campaign 10,Expired 10,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3848,,,12,4000000,Other,Other,,12354,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10230,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
24567,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,5391776534326,,Campaign 11,Expired 11,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3849,,,12,4000000,Other,Other,,12355,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10231,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
21889,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,2986642366253,,Campaign 12,Expired 12,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3850,,,12,4000000,Other,Other,,12356,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10232,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
24784,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,9581562955607,,Campaign 13,Expired 13,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3851,,,12,4000000,Other,Other,,12357,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10233,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
26249,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,7875697573561,,Campaign 14,Expired 14,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3852,,,12,4000000,Other,Other,,12358,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10234,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
22490,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,9274302675553,,Campaign 15,Expired 15,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3853,,,12,4000000,Other,Other,,12359,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10235,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
28865,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,5016358766873,,Campaign 16,Expired 16,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3854,,,12,4000000,Other,Other,,12359,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10235,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
32630,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,4487171454681,,Campaign 17,Expired 17,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3855,,,12,4000000,Other,Other,,12359,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10235,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
32337,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,5312388506113,,Campaign 18,Expired 18,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3856,,,12,4000000,Other,Other,,12359,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10235,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
31857,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,2288954835001,,Campaign 19,Expired 19,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3857,,,12,4000000,Other,Other,,12359,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10235,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
32331,Commercial Campaign,Yes,,Individual,TEST,TEST,citizen id,4503032557940,,Campaign 20,Expired 20,รองกรรมการผู้จัดการ,Decision Maker ,086-617-3858,,,12,4000000,Other,Other,,12359,,50000,123,Jatujak,Jatujak,กรุงเทพมหานคร,10235,Thailand,2364849,43345634,1234,123@mm.com,Hot,Passed,Campaign Expired
